Column1;Celebrities;Countryside..outdoors;Dancing;Foreign.languages;Fun.with.friends;Gardening;History;Internet;Mathematics;PC;Passive.sport;Science.and.technology;Writing
6;10;50;10;40;30;20;50;40;20;40;50;30;10
16;10;50;10;40;50;30;50;40;30;50;50;50;20
19;10;30;30;40;30;10;30;50;50;50;30;50;10
20;30;40;10;40;50;10;20;50;30;50;40;40;10
21;20;50;10;40;40;20;50;50;20;40;50;50;30
22;10;40;10;40;50;30;40;50;30;50;50;50;40
35;10;50;20;50;50;10;40;50;30;40;50;50;20
42;10;50;20;30;50;10;50;50;50;50;10;30;10
43;20;30;10;50;50;10;20;50;50;50;30;40;10
46;40;20;50;20;50;10;50;50;50;50;40;50;10
57;20;30;20;50;50;20;30;40;40;40;50;30;30
62;20;30;10;30;50;10;30;50;30;40;40;30;10
63;10;40;10;40;50;10;50;50;40;50;50;50;10
69;10;40;10;40;50;10;20;50;50;20;50;40;10
86;20;50;20;30;40;20;40;50;50;50;40;50;10
94;10;40;10;20;50;10;20;50;40;50;40;50;10
105;10;30;20;30;40;20;50;30;20;30;30;30;30
107;20;40;20;50;50;10;40;40;30;40;50;50;10
110;10;30;10;30;40;10;30;40;20;50;20;40;10
111;10;50;10;40;40;10;30;50;20;20;20;40;30
119;10;50;10;30;40;20;30;40;40;40;40;30;20
128;10;40;10;40;50;20;40;50;30;40;40;40;30
136;30;40;10;50;50;20;50;40;30;40;40;50;10
138;20;30;10;50;30;10;40;50;30;40;30;20;40
142;10;50;10;50;30;10;30;50;50;50;10;50;10
148;10;50;10;40;20;10;40;50;50;40;40;50;30
149;20;40;30;40;30;10;30;50;40;50;30;40;30
150;10;40;10;30;30;10;20;30;50;50;20;40;10
151;20;40;10;40;50;10;20;40;30;40;50;50;10
153;10;10;10;50;50;10;50;40;20;20;30;40;50
155;10;30;10;50;50;10;50;50;30;50;10;50;10
161;10;20;40;40;50;10;40;50;50;40;50;40;40
173;10;40;10;40;50;10;50;50;30;50;50;50;50
181;10;10;10;40;50;10;40;50;40;30;10;40;10
182;20;30;20;30;40;20;40;30;20;30;30;30;20
207;10;40;10;50;40;10;50;40;40;40;30;40;30
210;10;40;10;30;50;10;40;40;40;50;50;40;10
222;10;50;10;50;50;30;30;50;40;50;30;50;30
226;10;40;30;40;50;10;30;50;40;40;40;50;10
228;10;40;10;50;30;10;50;40;30;40;40;30;20
230;10;50;20;30;40;20;20;50;40;50;50;40;10
242;50;20;10;50;50;10;30;40;40;30;50;30;20
258;30;50;20;40;50;10;40;50;50;50;50;50;10
259;10;50;10;30;50;10;20;50;40;30;40;40;10
284;20;40;20;40;40;30;20;50;50;50;50;50;10
294;10;40;10;50;50;10;40;50;50;40;10;40;30
302;10;40;10;10;40;20;50;30;20;40;20;50;20
308;10;50;10;50;20;20;20;50;50;50;50;50;50
321;40;50;30;40;50;30;50;50;30;50;40;40;30
337;30;40;10;30;40;20;10;30;50;40;10;50;10
357;30;30;10;40;40;10;50;50;50;40;50;50;10
370;30;50;10;20;30;30;40;50;40;40;30;30;10
384;10;20;10;30;50;10;10;50;50;50;10;50;10
386;30;50;30;40;50;10;30;50;30;50;50;50;10
387;10;20;20;40;40;10;20;40;30;30;50;40;50
391;20;40;20;50;50;10;50;40;30;30;30;30;20
395;50;30;10;20;50;10;10;50;40;50;50;30;20
401;10;30;10;30;40;10;50;50;50;40;10;50;10
418;10;40;10;20;50;10;40;50;50;50;30;40;10
432;20;40;10;40;50;30;20;50;50;50;40;50;10
433;10;40;10;50;50;10;50;40;20;50;40;50;10
445;10;50;30;40;50;10;30;40;40;10;30;30;20
457;10;20;10;20;50;10;50;50;50;50;50;40;10
458;10;40;20;30;50;10;30;50;50;50;50;40;20
463;10;40;10;30;40;30;30;30;30;30;40;40;10
472;10;40;10;20;50;10;30;40;30;40;20;50;10
475;20;30;10;20;50;10;30;50;50;50;20;50;10
483;20;20;10;10;40;10;40;40;40;40;30;30;20
489;10;50;10;50;40;10;50;40;30;40;30;50;20
495;30;40;10;40;50;20;20;40;40;20;30;20;10
500;10;30;10;20;50;10;30;50;20;50;40;50;10
504;30;50;10;40;30;10;40;50;50;50;10;50;10
511;10;50;50;40;50;10;30;30;30;50;50;50;10
512;10;50;10;50;50;10;20;40;40;50;20;50;10
527;20;40;20;20;50;30;40;50;50;40;50;50;10
529;10;20;10;30;50;10;20;50;50;40;50;50;10
532;10;50;20;40;50;20;50;50;30;50;50;40;20
534;10;40;20;50;50;10;30;50;30;40;50;40;20
538;10;50;10;50;50;10;40;50;20;30;50;50;10
544;10;40;10;20;40;10;30;50;20;50;20;30;10
572;10;40;30;50;50;10;10;50;40;50;30;10;20
580;40;20;10;30;50;10;50;50;50;50;50;40;10
583;10;50;20;50;50;10;50;30;30;20;50;30;20
584;10;30;30;30;40;20;50;50;20;50;40;50;50
591;10;40;50;40;50;20;40;40;50;40;20;50;10
610;10;40;10;40;40;10;50;50;50;50;30;50;10
617;10;10;10;20;50;10;40;50;30;50;50;50;10
619;40;50;10;50;50;10;50;50;10;50;50;30;10
620;10;20;10;40;50;10;30;50;50;40;20;50;10
629;10;10;10;30;40;10;20;40;40;40;50;40;10
638;20;50;20;40;50;30;40;50;50;50;30;50;10
668;10;50;20;30;50;40;50;50;20;40;50;30;10
669;10;50;10;40;30;10;20;30;40;50;30;50;40
679;10;50;20;40;50;20;50;50;20;50;50;50;10
683;20;40;10;30;40;10;30;40;40;40;40;40;10
695;20;40;30;50;50;10;50;50;50;50;40;50;10
703;10;30;30;30;50;10;50;50;50;50;30;50;20
711;10;10;10;30;50;10;30;30;50;30;40;20;10
716;10;20;10;30;40;20;40;40;20;50;40;50;10
730;10;40;20;40;50;20;40;50;40;50;50;40;20
740;10;40;30;50;50;10;50;50;50;50;50;50;10
746;10;30;30;30;40;10;40;50;40;50;30;50;10
