,Action,Alternative,Animated,Classical.music,Comedy,Country,Dance,Documentary,Fantasy.Fairy.tales,Folk,Hiphop..Rap,Horror,Latino,Metal.or.Hardrock,Movies,Music,Musical,Opera,Pop,Punk,Reggae..Ska,Rock,Rock.n.roll,Romantic,Sci.fi,Slow.songs.or.fast.songs,Swing..Jazz,Techno..Trance,Thriller,War,Western
19,5.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,2.0,4.0,4.0,5.0,5.0,5.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0
21,4.0,5.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,2.0,4.0,5.0,3.0,5.0,5.0,5.0,3.0,4.0,2.0,4.0,3.0,5.0,4.0,3.0,3.0,3.0,5.0,3.0,5.0,4.0,2.0
31,5.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,2.0,5.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,5.0,4.0,3.0
39,5.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,3.0,4.0,1.0,3.0,1.0,5.0,5.0,2.0,4.0,5.0,2.0,5.0,4.0,2.0,5.0,3.0,5.0,2.0,4.0,4.0,3.0,2.0
42,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,3.0,5.0,1.0,1.0,1.0,1.0,5.0,4.0,5.0,1.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0
43,5.0,4.0,5.0,3.0,5.0,2.0,2.0,4.0,5.0,2.0,3.0,4.0,3.0,4.0,5.0,5.0,4.0,1.0,5.0,4.0,3.0,5.0,3.0,5.0,5.0,5.0,3.0,3.0,4.0,3.0,3.0
46,2.0,1.0,1.0,4.0,5.0,2.0,5.0,5.0,2.0,2.0,3.0,5.0,4.0,1.0,5.0,5.0,3.0,4.0,5.0,2.0,3.0,4.0,5.0,2.0,4.0,4.0,3.0,3.0,4.0,1.0,2.0
47,5.0,4.0,2.0,1.0,5.0,4.0,4.0,1.0,3.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,2.0,5.0,2.0,2.0,5.0,5.0,3.0,5.0,3.0,3.0,2.0,5.0,1.0,1.0
51,5.0,4.0,4.0,5.0,5.0,2.0,2.0,4.0,4.0,4.0,4.0,1.0,5.0,2.0,5.0,4.0,5.0,2.0,5.0,4.0,4.0,5.0,4.0,4.0,2.0,3.0,3.0,1.0,5.0,4.0,1.0
52,5.0,3.0,5.0,4.0,5.0,1.0,3.0,4.0,5.0,3.0,2.0,2.0,5.0,3.0,5.0,5.0,3.0,2.0,5.0,2.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0
53,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,2.0,5.0,5.0,5.0
54,5.0,3.0,3.0,4.0,5.0,3.0,4.0,3.0,5.0,4.0,3.0,3.0,5.0,2.0,5.0,5.0,5.0,5.0,4.0,2.0,3.0,3.0,3.0,5.0,1.0,3.0,3.0,2.0,3.0,5.0,1.0
