,Achievements,Appearence.and.gestures,Assertiveness,Borrowed.stuff,Changing.the.past,Charity,Cheating.in.school,Children,Compassion.to.animals,Criminal.damage,Daily.events,Decision.making,Dreams,Eating.to.survive,Elections,Empathy,Energy.levels,Fake,Final.judgement,Finding.lost.valuables,Friends.versus.money,Funniness,Getting.angry,Getting.up,Giving,God,Happiness.in.life,Health,Hypochondria,Interests.or.hobbies,Judgment.calls,Keeping.promises,Knowing.the.right.people,Life.struggles,Loneliness,Loss.of.interest,Mood.swings,New.environment,Number.of.friends,Parents..advice,Personality,Prioritising.workload,Public.speaking,Questionnaires.or.polls,Reliability,Responding.to.a.serious.letter,Self.criticism,Small...big.dogs,Socializing,Thinking.ahead,Unpopularity,Waiting,Workaholism,Writing.notes
6,2.0,3.0,4.0,5.0,3.0,2.0,4.0,3.0,5.0,4.0,2.0,2.0,3.0,2.0,5.0,4.0,4.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,5.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0
20,2.0,3.0,1.0,5.0,3.0,1.0,5.0,3.0,1.0,3.0,3.0,4.0,4.0,2.0,3.0,5.0,3.0,1.0,1.0,1.0,4.0,3.0,2.0,5.0,1.0,1.0,4.0,3.0,1.0,4.0,5.0,5.0,4.0,1.0,2.0,3.0,4.0,4.0,4.0,2.0,5.0,1.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,2.0,1.0,1.0
21,3.0,3.0,3.0,5.0,3.0,2.0,4.0,3.0,5.0,4.0,3.0,2.0,4.0,2.0,5.0,3.0,4.0,1.0,1.0,4.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,1.0,5.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0
22,4.0,3.0,5.0,3.0,1.0,1.0,5.0,5.0,5.0,3.0,4.0,1.0,4.0,1.0,5.0,1.0,5.0,2.0,1.0,1.0,3.0,4.0,4.0,5.0,2.0,3.0,4.0,1.0,1.0,5.0,2.0,4.0,5.0,2.0,4.0,2.0,2.0,5.0,3.0,3.0,3.0,1.0,1.0,4.0,4.0,2.0,3.0,5.0,3.0,2.0,5.0,3.0,3.0,1.0
29,2.0,5.0,5.0,4.0,1.0,2.0,5.0,4.0,3.0,5.0,4.0,2.0,4.0,1.0,3.0,5.0,5.0,2.0,2.0,2.0,2.0,4.0,1.0,5.0,4.0,2.0,5.0,3.0,2.0,5.0,5.0,4.0,5.0,1.0,3.0,4.0,2.0,5.0,5.0,3.0,5.0,3.0,4.0,1.0,4.0,4.0,2.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0
33,2.0,2.0,4.0,5.0,1.0,1.0,5.0,3.0,5.0,3.0,3.0,1.0,3.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,4.0,1.0,1.0,5.0,5.0,1.0,3.0,3.0,1.0,1.0,2.0,5.0,5.0,3.0,4.0,1.0,4.0,3.0,1.0,3.0,1.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0
34,5.0,3.0,5.0,5.0,1.0,4.0,4.0,4.0,4.0,2.0,5.0,1.0,4.0,2.0,5.0,4.0,5.0,2.0,1.0,4.0,4.0,4.0,2.0,1.0,3.0,1.0,5.0,2.0,2.0,5.0,5.0,5.0,5.0,4.0,3.0,2.0,3.0,5.0,4.0,4.0,3.0,2.0,4.0,2.0,5.0,1.0,5.0,2.0,3.0,1.0,5.0,3.0,3.0,2.0
38,3.0,3.0,3.0,5.0,3.0,1.0,3.0,2.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,5.0,5.0,1.0,2.0,5.0,5.0,5.0,2.0,3.0,5.0,1.0,4.0,3.0,1.0,5.0,5.0,4.0,3.0,1.0,3.0,5.0,5.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,5.0,5.0,3.0,5.0,1.0,4.0,1.0,1.0,2.0,2.0
42,2.0,3.0,3.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,3.0,3.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,3.0,5.0,1.0,1.0,4.0,3.0,4.0,2.0,2.0,1.0,5.0,2.0,5.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0
47,3.0,3.0,3.0,5.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,5.0,2.0,1.0,3.0,5.0,1.0,5.0,2.0,5.0,3.0,3.0,5.0,4.0,3.0,4.0,3.0,1.0,5.0,3.0,5.0,3.0,2.0,2.0,3.0,2.0,5.0,5.0,4.0,4.0,3.0,2.0,2.0,5.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0
