,Ageing,Dangerous.dogs,Darkness,Fear.of.public.speaking,Flying,Heights,Rats,Snakes,Spiders,Storm
4,4.0,5.0,1.0,5.0,2.0,3.0,5.0,5.0,5.0,1.0
10,3.0,5.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,5.0
12,5.0,5.0,1.0,5.0,4.0,3.0,5.0,5.0,5.0,1.0
15,5.0,5.0,3.0,3.0,5.0,3.0,1.0,5.0,2.0,5.0
17,2.0,5.0,5.0,4.0,1.0,4.0,1.0,3.0,5.0,3.0
18,5.0,5.0,5.0,3.0,3.0,5.0,1.0,4.0,4.0,5.0
24,3.0,3.0,5.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0
25,5.0,5.0,2.0,5.0,1.0,1.0,4.0,5.0,5.0,1.0
30,5.0,5.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0
33,1.0,5.0,5.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0
34,1.0,2.0,2.0,4.0,1.0,4.0,3.0,5.0,4.0,5.0
36,5.0,5.0,3.0,1.0,3.0,3.0,4.0,5.0,4.0,5.0
40,3.0,4.0,2.0,4.0,3.0,2.0,5.0,5.0,5.0,3.0
41,3.0,5.0,5.0,3.0,1.0,3.0,5.0,2.0,5.0,3.0
44,2.0,4.0,4.0,1.0,1.0,5.0,3.0,5.0,5.0,3.0
45,3.0,5.0,4.0,3.0,3.0,5.0,3.0,5.0,5.0,2.0
46,5.0,4.0,2.0,4.0,5.0,5.0,1.0,4.0,5.0,2.0
53,3.0,1.0,5.0,3.0,3.0,4.0,4.0,5.0,5.0,3.0
55,1.0,5.0,5.0,2.0,3.0,5.0,4.0,5.0,3.0,2.0
56,3.0,5.0,5.0,4.0,2.0,3.0,5.0,5.0,5.0,2.0
63,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0
65,5.0,4.0,5.0,3.0,1.0,3.0,3.0,1.0,5.0,2.0
69,1.0,3.0,2.0,5.0,3.0,2.0,3.0,5.0,4.0,5.0
70,1.0,5.0,1.0,3.0,2.0,1.0,5.0,5.0,1.0,5.0
73,3.0,4.0,3.0,4.0,1.0,3.0,4.0,5.0,5.0,3.0
75,3.0,5.0,1.0,2.0,5.0,4.0,3.0,4.0,3.0,5.0
80,2.0,3.0,2.0,4.0,2.0,4.0,5.0,5.0,5.0,3.0
84,3.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0
86,1.0,4.0,4.0,3.0,2.0,5.0,4.0,4.0,2.0,3.0
90,4.0,5.0,2.0,3.0,3.0,3.0,5.0,3.0,2.0,3.0
92,5.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,3.0
101,1.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,4.0
112,1.0,5.0,2.0,5.0,2.0,3.0,5.0,4.0,5.0,2.0
116,5.0,5.0,4.0,2.0,1.0,5.0,3.0,5.0,5.0,1.0
117,3.0,5.0,5.0,4.0,4.0,5.0,1.0,5.0,5.0,2.0
127,4.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,1.0,3.0
131,5.0,4.0,3.0,3.0,1.0,1.0,5.0,4.0,4.0,1.0
134,2.0,3.0,5.0,2.0,3.0,4.0,2.0,4.0,4.0,3.0
135,5.0,5.0,3.0,5.0,3.0,3.0,1.0,3.0,5.0,3.0
136,3.0,1.0,5.0,1.0,4.0,5.0,1.0,2.0,5.0,4.0
140,4.0,5.0,4.0,2.0,4.0,4.0,5.0,5.0,3.0,4.0
143,4.0,5.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0
144,4.0,2.0,4.0,4.0,2.0,5.0,5.0,5.0,5.0,3.0
146,3.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,5.0,3.0
154,4.0,5.0,2.0,3.0,1.0,3.0,4.0,4.0,5.0,3.0
166,4.0,4.0,2.0,4.0,3.0,4.0,5.0,4.0,4.0,2.0
168,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0
171,3.0,3.0,4.0,2.0,2.0,3.0,4.0,5.0,3.0,2.0
175,5.0,5.0,5.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0
185,4.0,5.0,1.0,3.0,3.0,3.0,2.0,5.0,2.0,5.0
187,4.0,4.0,3.0,3.0,2.0,2.0,5.0,5.0,5.0,3.0
189,2.0,5.0,4.0,4.0,3.0,1.0,5.0,5.0,2.0,3.0
197,2.0,4.0,3.0,3.0,2.0,2.0,4.0,5.0,4.0,2.0
198,2.0,4.0,4.0,4.0,1.0,2.0,4.0,4.0,4.0,4.0
199,3.0,5.0,5.0,4.0,1.0,5.0,5.0,5.0,5.0,5.0
209,4.0,1.0,5.0,2.0,1.0,2.0,4.0,4.0,5.0,5.0
211,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0
212,5.0,5.0,2.0,1.0,1.0,5.0,5.0,5.0,5.0,2.0
240,5.0,3.0,3.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0
242,3.0,4.0,5.0,4.0,2.0,2.0,5.0,5.0,5.0,4.0
245,3.0,5.0,3.0,4.0,5.0,2.0,5.0,4.0,5.0,3.0
257,5.0,5.0,3.0,3.0,1.0,1.0,3.0,5.0,5.0,3.0
271,5.0,5.0,4.0,4.0,2.0,5.0,4.0,5.0,5.0,4.0
275,5.0,5.0,5.0,2.0,1.0,5.0,5.0,4.0,4.0,3.0
283,3.0,2.0,3.0,5.0,3.0,3.0,5.0,5.0,5.0,4.0
287,3.0,3.0,3.0,3.0,5.0,3.0,4.0,5.0,4.0,5.0
296,4.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,2.0
299,4.0,4.0,5.0,5.0,1.0,5.0,3.0,5.0,3.0,2.0
300,5.0,3.0,4.0,5.0,3.0,3.0,5.0,5.0,5.0,2.0
303,5.0,5.0,3.0,4.0,3.0,1.0,5.0,5.0,1.0,5.0
306,3.0,4.0,3.0,3.0,5.0,5.0,1.0,5.0,2.0,4.0
307,1.0,5.0,2.0,4.0,3.0,5.0,3.0,2.0,5.0,3.0
309,5.0,3.0,3.0,2.0,3.0,4.0,5.0,4.0,3.0,3.0
319,3.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0
322,3.0,5.0,3.0,2.0,3.0,3.0,3.0,5.0,5.0,3.0
328,1.0,2.0,2.0,3.0,5.0,4.0,3.0,5.0,5.0,4.0
331,4.0,4.0,4.0,5.0,3.0,3.0,2.0,3.0,5.0,5.0
333,5.0,5.0,4.0,1.0,5.0,3.0,2.0,4.0,3.0,5.0
337,1.0,5.0,1.0,3.0,4.0,4.0,4.0,5.0,5.0,1.0
339,5.0,4.0,5.0,5.0,3.0,4.0,3.0,5.0,2.0,5.0
340,4.0,5.0,3.0,1.0,3.0,2.0,2.0,5.0,2.0,4.0
341,3.0,5.0,4.0,1.0,1.0,4.0,1.0,4.0,5.0,4.0
342,5.0,5.0,4.0,2.0,1.0,1.0,5.0,5.0,5.0,4.0
345,1.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,4.0
350,3.0,5.0,4.0,2.0,1.0,1.0,3.0,2.0,5.0,5.0
355,3.0,4.0,3.0,2.0,1.0,3.0,5.0,5.0,3.0,1.0
371,2.0,5.0,5.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0
375,4.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0
376,5.0,5.0,2.0,5.0,3.0,3.0,3.0,4.0,5.0,2.0
377,1.0,2.0,5.0,3.0,3.0,4.0,2.0,2.0,5.0,4.0
383,5.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0
385,3.0,4.0,2.0,5.0,2.0,2.0,3.0,5.0,5.0,4.0
389,2.0,4.0,1.0,2.0,2.0,4.0,5.0,5.0,5.0,2.0
390,1.0,2.0,5.0,3.0,1.0,5.0,4.0,5.0,2.0,3.0
392,2.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0
393,2.0,4.0,3.0,4.0,3.0,2.0,4.0,5.0,3.0,4.0
395,5.0,4.0,5.0,2.0,4.0,5.0,4.0,2.0,5.0,4.0
398,3.0,4.0,2.0,3.0,5.0,5.0,5.0,4.0,2.0,3.0
407,3.0,5.0,4.0,4.0,4.0,3.0,3.0,5.0,1.0,5.0
409,4.0,5.0,5.0,2.0,5.0,1.0,5.0,5.0,3.0,3.0
412,2.0,2.0,4.0,1.0,4.0,3.0,3.0,5.0,5.0,3.0
416,5.0,5.0,5.0,2.0,1.0,3.0,5.0,5.0,5.0,5.0
419,2.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,4.0
421,1.0,5.0,5.0,3.0,1.0,5.0,3.0,5.0,3.0,5.0
423,2.0,4.0,3.0,4.0,1.0,3.0,5.0,5.0,5.0,3.0
424,5.0,5.0,2.0,1.0,4.0,4.0,3.0,5.0,2.0,4.0
425,1.0,5.0,4.0,5.0,2.0,2.0,3.0,5.0,5.0,2.0
426,1.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0
429,3.0,4.0,5.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0
436,2.0,5.0,5.0,2.0,2.0,5.0,1.0,2.0,5.0,4.0
438,3.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,5.0,4.0
441,4.0,4.0,4.0,5.0,1.0,4.0,4.0,5.0,5.0,2.0
448,1.0,4.0,3.0,3.0,5.0,5.0,4.0,5.0,4.0,3.0
453,5.0,3.0,5.0,4.0,1.0,1.0,5.0,5.0,5.0,4.0
455,4.0,5.0,3.0,1.0,1.0,3.0,3.0,2.0,5.0,3.0
456,2.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0
463,5.0,5.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,2.0
464,3.0,5.0,4.0,5.0,4.0,4.0,1.0,5.0,2.0,4.0
465,3.0,5.0,3.0,1.0,1.0,5.0,5.0,4.0,4.0,2.0
468,4.0,5.0,3.0,5.0,2.0,4.0,5.0,5.0,5.0,2.0
475,2.0,3.0,4.0,5.0,1.0,4.0,5.0,5.0,3.0,3.0
487,4.0,5.0,3.0,2.0,3.0,4.0,3.0,4.0,5.0,4.0
491,5.0,5.0,1.0,4.0,2.0,2.0,5.0,5.0,5.0,1.0
502,3.0,5.0,2.0,5.0,1.0,2.0,5.0,4.0,5.0,2.0
