,Age,Education,Gender,Only.child
1,20.0,0.0,0.0,0.0
2,19.0,0.0,0.0,0.0
3,20.0,1.0,0.0,0.0
4,22.0,0.0,0.0,1.0
5,20.0,1.0,0.0,0.0
6,20.0,1.0,1.0,0.0
7,20.0,1.0,0.0,0.0
8,19.0,0.0,1.0,0.0
10,19.0,1.0,0.0,0.0
11,19.0,1.0,0.0,0.0
14,19.0,1.0,0.0,0.0
15,22.0,0.0,0.0,0.0
17,19.0,0.0,0.0,0.0
18,20.0,1.0,0.0,0.0
21,20.0,1.0,1.0,0.0
23,22.0,0.0,0.0,0.0
24,20.0,1.0,0.0,0.0
25,19.0,1.0,0.0,0.0
26,20.0,1.0,0.0,1.0
27,22.0,0.0,0.0,0.0
28,19.0,1.0,0.0,0.0
29,20.0,1.0,1.0,1.0
30,19.0,1.0,0.0,0.0
32,22.0,1.0,0.0,0.0
33,20.0,1.0,0.0,0.0
35,20.0,0.0,1.0,0.0
36,19.0,1.0,0.0,0.0
38,21.0,1.0,1.0,0.0
40,21.0,1.0,0.0,0.0
42,20.0,0.0,1.0,0.0
43,19.0,1.0,0.0,1.0
44,20.0,0.0,0.0,0.0
47,21.0,0.0,0.0,0.0
48,19.0,1.0,0.0,1.0
49,20.0,1.0,0.0,1.0
50,20.0,2.0,0.0,0.0
51,19.0,0.0,0.0,0.0
52,19.0,1.0,0.0,0.0
53,21.0,1.0,0.0,0.0
55,21.0,0.0,0.0,0.0
57,20.0,1.0,0.0,-1.0
58,21.0,1.0,0.0,0.0
59,19.0,1.0,1.0,0.0
60,22.0,0.0,1.0,0.0
64,22.0,0.0,1.0,0.0
67,20.0,1.0,1.0,0.0
70,20.0,1.0,0.0,0.0
72,20.0,1.0,1.0,1.0
74,21.0,1.0,1.0,1.0
75,22.0,3.0,1.0,0.0
76,20.0,1.0,1.0,0.0
78,21.0,1.0,0.0,0.0
80,21.0,1.0,0.0,0.0
81,19.0,1.0,0.0,0.0
82,22.0,1.0,1.0,0.0
84,22.0,1.0,0.0,0.0
85,19.0,1.0,0.0,1.0
86,22.0,0.0,1.0,0.0
89,21.0,1.0,0.0,1.0
90,22.0,3.0,0.0,0.0
91,19.0,1.0,0.0,0.0
93,19.0,0.0,0.0,1.0
95,21.0,1.0,1.0,0.0
96,21.0,0.0,1.0,0.0
97,19.0,0.0,1.0,0.0
98,19.0,2.0,1.0,0.0
99,22.0,1.0,1.0,0.0
