,Branded.clothing,Entertainment.spending,Finances,Shopping.centres,Spending.on.gadgets,Spending.on.healthy.eating,Spending.on.looks
9,3.0,2.0,2.0,1.0,3.0,4.0,1.0
12,1.0,3.0,2.0,2.0,1.0,2.0,1.0
13,1.0,2.0,4.0,1.0,2.0,3.0,3.0
22,1.0,1.0,2.0,1.0,2.0,2.0,1.0
23,1.0,2.0,5.0,2.0,4.0,4.0,2.0
30,1.0,4.0,4.0,3.0,2.0,4.0,3.0
32,3.0,2.0,4.0,3.0,2.0,2.0,2.0
34,2.0,1.0,2.0,2.0,2.0,4.0,1.0
39,1.0,1.0,5.0,5.0,1.0,1.0,1.0
42,1.0,1.0,3.0,1.0,1.0,3.0,1.0
43,1.0,2.0,5.0,4.0,4.0,3.0,2.0
52,1.0,2.0,5.0,4.0,2.0,3.0,2.0
53,1.0,1.0,1.0,1.0,1.0,4.0,5.0
55,2.0,2.0,3.0,2.0,3.0,5.0,4.0
61,2.0,3.0,5.0,1.0,1.0,4.0,1.0
68,2.0,3.0,3.0,3.0,1.0,3.0,2.0
72,2.0,2.0,4.0,3.0,1.0,5.0,2.0
73,2.0,2.0,3.0,2.0,2.0,3.0,2.0
77,2.0,2.0,2.0,2.0,2.0,4.0,2.0
79,1.0,2.0,4.0,1.0,3.0,5.0,2.0
87,4.0,2.0,2.0,1.0,1.0,1.0,1.0
90,2.0,2.0,4.0,2.0,3.0,3.0,3.0
106,2.0,1.0,4.0,1.0,3.0,3.0,2.0
107,1.0,3.0,4.0,2.0,4.0,2.0,2.0
112,1.0,2.0,2.0,2.0,3.0,3.0,2.0
113,2.0,2.0,4.0,3.0,3.0,2.0,3.0
114,4.0,2.0,2.0,1.0,1.0,2.0,2.0
117,1.0,1.0,3.0,1.0,1.0,4.0,2.0
118,1.0,1.0,3.0,1.0,1.0,1.0,2.0
119,2.0,2.0,4.0,2.0,2.0,3.0,1.0
120,1.0,4.0,5.0,1.0,2.0,3.0,4.0
121,1.0,3.0,4.0,1.0,1.0,4.0,1.0
123,2.0,3.0,4.0,2.0,2.0,3.0,2.0
124,1.0,3.0,4.0,1.0,2.0,4.0,2.0
127,1.0,1.0,4.0,3.0,1.0,2.0,1.0
138,1.0,2.0,4.0,4.0,1.0,4.0,1.0
139,1.0,1.0,4.0,1.0,1.0,1.0,1.0
141,2.0,1.0,3.0,2.0,1.0,2.0,1.0
145,2.0,1.0,5.0,2.0,1.0,5.0,1.0
148,1.0,1.0,4.0,2.0,3.0,4.0,1.0
150,1.0,2.0,3.0,2.0,2.0,4.0,1.0
158,3.0,2.0,4.0,3.0,2.0,2.0,2.0
161,1.0,4.0,3.0,1.0,2.0,4.0,2.0
167,1.0,4.0,5.0,2.0,2.0,4.0,2.0
168,1.0,2.0,4.0,2.0,3.0,2.0,1.0
170,3.0,3.0,5.0,2.0,2.0,3.0,2.0
171,1.0,3.0,5.0,1.0,2.0,4.0,2.0
173,1.0,1.0,4.0,1.0,3.0,5.0,1.0
176,1.0,1.0,5.0,1.0,1.0,3.0,1.0
177,2.0,2.0,4.0,2.0,3.0,4.0,2.0
179,1.0,3.0,4.0,2.0,1.0,3.0,2.0
182,2.0,2.0,3.0,2.0,2.0,3.0,2.0
186,2.0,1.0,3.0,3.0,1.0,4.0,2.0
188,1.0,2.0,2.0,1.0,1.0,1.0,1.0
190,2.0,1.0,4.0,3.0,3.0,3.0,1.0
192,1.0,1.0,1.0,1.0,1.0,3.0,1.0
201,3.0,2.0,4.0,3.0,3.0,1.0,2.0
205,1.0,2.0,3.0,1.0,2.0,2.0,2.0
206,3.0,3.0,5.0,2.0,1.0,4.0,1.0
207,1.0,1.0,4.0,1.0,2.0,3.0,3.0
208,1.0,2.0,4.0,3.0,1.0,5.0,3.0
222,1.0,3.0,1.0,3.0,1.0,5.0,1.0
225,1.0,2.0,4.0,3.0,4.0,2.0,2.0
229,1.0,1.0,5.0,1.0,1.0,4.0,1.0
233,1.0,3.0,4.0,1.0,5.0,4.0,1.0
235,2.0,1.0,5.0,4.0,1.0,3.0,1.0
244,2.0,1.0,5.0,1.0,2.0,5.0,1.0
245,1.0,1.0,3.0,2.0,2.0,3.0,4.0
254,1.0,1.0,3.0,1.0,3.0,3.0,5.0
256,1.0,3.0,5.0,1.0,1.0,4.0,1.0
259,1.0,5.0,4.0,1.0,1.0,5.0,1.0
260,3.0,4.0,4.0,1.0,1.0,3.0,3.0
265,1.0,1.0,3.0,1.0,1.0,3.0,1.0
270,1.0,2.0,4.0,2.0,4.0,4.0,2.0
273,3.0,2.0,4.0,1.0,1.0,4.0,1.0
275,1.0,3.0,4.0,3.0,4.0,4.0,3.0
292,3.0,3.0,3.0,2.0,2.0,3.0,2.0
294,1.0,1.0,3.0,5.0,2.0,2.0,1.0
295,3.0,2.0,3.0,2.0,2.0,5.0,3.0
308,1.0,1.0,4.0,5.0,1.0,3.0,1.0
331,1.0,2.0,3.0,2.0,1.0,3.0,3.0
333,3.0,1.0,5.0,1.0,1.0,2.0,2.0
335,2.0,1.0,4.0,3.0,3.0,4.0,2.0
337,3.0,1.0,5.0,2.0,2.0,1.0,1.0
345,1.0,1.0,5.0,2.0,1.0,2.0,3.0
346,2.0,3.0,4.0,3.0,2.0,3.0,2.0
359,2.0,4.0,4.0,2.0,3.0,3.0,2.0
362,1.0,1.0,4.0,5.0,1.0,5.0,1.0
363,1.0,1.0,5.0,2.0,5.0,4.0,1.0
364,1.0,1.0,5.0,1.0,4.0,4.0,1.0
368,3.0,2.0,5.0,2.0,3.0,3.0,3.0
370,2.0,3.0,4.0,2.0,3.0,1.0,3.0
374,3.0,2.0,4.0,2.0,1.0,2.0,1.0
376,1.0,1.0,4.0,2.0,2.0,2.0,1.0
378,3.0,1.0,3.0,2.0,3.0,5.0,1.0
392,1.0,3.0,3.0,2.0,3.0,4.0,3.0
394,3.0,1.0,4.0,2.0,3.0,5.0,2.0
403,1.0,3.0,3.0,2.0,4.0,2.0,1.0
404,1.0,2.0,2.0,2.0,1.0,2.0,1.0
409,3.0,1.0,2.0,1.0,1.0,3.0,3.0
414,2.0,3.0,3.0,3.0,2.0,3.0,2.0
420,3.0,3.0,3.0,3.0,1.0,3.0,1.0
422,1.0,1.0,5.0,3.0,2.0,3.0,1.0
424,3.0,2.0,5.0,3.0,2.0,4.0,2.0
427,1.0,4.0,3.0,1.0,1.0,4.0,1.0
428,1.0,4.0,1.0,1.0,1.0,4.0,2.0
429,3.0,2.0,4.0,2.0,2.0,3.0,2.0
433,1.0,4.0,3.0,2.0,2.0,2.0,2.0
434,1.0,3.0,3.0,1.0,3.0,5.0,3.0
439,1.0,1.0,1.0,3.0,2.0,2.0,2.0
442,1.0,3.0,3.0,2.0,2.0,5.0,3.0
444,2.0,2.0,3.0,3.0,1.0,3.0,3.0
445,1.0,3.0,4.0,1.0,2.0,4.0,2.0
448,1.0,2.0,5.0,2.0,1.0,4.0,2.0
450,3.0,4.0,5.0,1.0,2.0,3.0,2.0
458,1.0,3.0,5.0,3.0,4.0,4.0,1.0
459,3.0,1.0,3.0,3.0,1.0,3.0,2.0
463,3.0,3.0,4.0,1.0,2.0,3.0,2.0
464,1.0,1.0,3.0,4.0,1.0,4.0,2.0
468,1.0,2.0,4.0,4.0,1.0,3.0,2.0
474,1.0,2.0,5.0,1.0,2.0,3.0,1.0
482,1.0,4.0,3.0,1.0,3.0,5.0,2.0
486,4.0,1.0,3.0,1.0,1.0,1.0,2.0
487,2.0,2.0,2.0,2.0,2.0,3.0,2.0
492,1.0,1.0,3.0,2.0,3.0,5.0,3.0
500,1.0,5.0,5.0,1.0,2.0,1.0,2.0
504,1.0,1.0,5.0,2.0,1.0,5.0,1.0
515,2.0,2.0,4.0,3.0,2.0,2.0,2.0
531,1.0,4.0,4.0,4.0,1.0,4.0,2.0
538,2.0,4.0,3.0,2.0,3.0,2.0,1.0
539,1.0,1.0,4.0,4.0,1.0,3.0,1.0
546,1.0,2.0,3.0,1.0,1.0,3.0,1.0
548,1.0,3.0,3.0,2.0,1.0,4.0,1.0
549,3.0,1.0,4.0,3.0,1.0,3.0,3.0
561,1.0,1.0,4.0,1.0,1.0,1.0,1.0
562,3.0,1.0,5.0,1.0,3.0,4.0,1.0
567,3.0,2.0,3.0,2.0,2.0,3.0,2.0
570,2.0,3.0,3.0,3.0,3.0,2.0,2.0
575,1.0,2.0,3.0,3.0,1.0,5.0,1.0
576,4.0,2.0,4.0,2.0,2.0,4.0,2.0
585,2.0,2.0,2.0,2.0,2.0,2.0,2.0
587,1.0,3.0,2.0,5.0,1.0,2.0,1.0
594,1.0,2.0,4.0,1.0,1.0,3.0,2.0
596,1.0,2.0,1.0,2.0,1.0,1.0,1.0
599,2.0,2.0,5.0,3.0,5.0,4.0,2.0
603,1.0,1.0,5.0,3.0,1.0,3.0,1.0
607,4.0,2.0,4.0,2.0,2.0,1.0,2.0
610,3.0,1.0,4.0,1.0,2.0,5.0,2.0
611,2.0,3.0,3.0,3.0,2.0,2.0,2.0
636,2.0,1.0,3.0,4.0,1.0,3.0,1.0
642,2.0,3.0,4.0,2.0,3.0,3.0,2.0
644,2.0,2.0,4.0,2.0,2.0,4.0,2.0
654,1.0,3.0,5.0,2.0,2.0,4.0,2.0
659,2.0,4.0,4.0,2.0,1.0,5.0,1.0
661,4.0,4.0,5.0,2.0,1.0,5.0,2.0
666,3.0,3.0,3.0,2.0,2.0,5.0,2.0
668,3.0,2.0,4.0,1.0,3.0,5.0,1.0
674,2.0,3.0,4.0,2.0,1.0,4.0,3.0
678,2.0,2.0,2.0,2.0,1.0,2.0,4.0
679,1.0,1.0,3.0,1.0,4.0,5.0,1.0
680,1.0,2.0,4.0,1.0,1.0,4.0,1.0
684,1.0,3.0,3.0,2.0,2.0,4.0,2.0
697,2.0,2.0,3.0,3.0,2.0,3.0,2.0
708,3.0,2.0,4.0,2.0,2.0,4.0,2.0
709,2.0,2.0,3.0,1.0,2.0,4.0,2.0
712,1.0,1.0,4.0,3.0,1.0,4.0,2.0
720,2.0,2.0,2.0,2.0,2.0,3.0,1.0
724,2.0,2.0,3.0,2.0,1.0,4.0,1.0
725,3.0,2.0,3.0,3.0,2.0,3.0,2.0
